,Neighborhoods,Incident ID,Intersection,Street1,Street2,Latitude,Longitude,Incident Category,Incident Subcategory
320,108.0,688930,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
321,108.0,655912,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - From Building
322,108.0,655115,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Non-Criminal,Non-Criminal
323,108.0,672933,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Other
324,108.0,1015593,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Fraud,Fraud
325,108.0,681781,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
326,108.0,631932,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Motor Vehicle Theft,Motor Vehicle Theft
327,108.0,686490,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
328,108.0,1015880,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Non-Criminal,Other
329,108.0,941437,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Non-Criminal,Non-Criminal
330,108.0,1036093,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny - From Vehicle
331,108.0,1034128,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Robbery,Robbery - Other
